Method,Parameter Types,Param Sizes,Total Param Size
pt.ist.fenixframework.DomainRoot.getRelationDomainRootHasEditionModules(): pt.ist.fenixframework.dml.runtime.DirectRelation,[],[],0
pt.ist.socialsoftware.edition.virtual.api.dto.VirtualEditionInterDto.getReference(): java.lang.String,[],[],0
java.util.Optional.get(): java.lang.Object,[],[],0
pt.ist.socialsoftware.edition.text.domain.Heteronym_Base.role$$source,[],[],0
pt.ist.socialsoftware.edition.text.domain.TextModule_Base.getFragmentsSet(): java.util.Set,[],[],0
pt.ist.socialsoftware.edition.game.domain.ClassificationGameParticipant_Base.checkMultiplicityOfClassificationGame() : boolean,[],[],0
pt.ist.socialsoftware.edition.game.domain.Player_Base.init$Instance(boolean): void,['boolean'],[1],1
pt.ist.socialsoftware.edition.recommendation.domain.RecommendationModule_Base$DO_State.RecommendationModule_Base$DO_State(),[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.game.GameFrontendController.classicationGamePage(org.springframework.ui.Model): java.lang.String,['org.springframework.ui.Model'],[16],16
pt.ist.socialsoftware.edition.virtual.domain.TwitterCitation_Base$DO_State.tweetID,[],[],0
pt.ist.socialsoftware.edition.text.domain.NoteText.getRelationAnnexNoteHasTextNote(): pt.ist.fenixframework.dml.runtime.DirectRelation,[],[],0
pt.ist.fenixframework.backend.CurrentBackEndId.CurrentBackEndId(),[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.domain.Menu_Base.checkDisconnected(): void,[],[],0
pt.ist.fenixframework.DomainMetaObject_Base.addOwnDependenceRecord(pt.ist.fenixframework.consistencyPredicates.DomainDependenceRecord): void,['pt.ist.fenixframework.consistencyPredicates.DomainDependenceRecord'],[16],16
pt.ist.socialsoftware.edition.text.api.TextProvidesInterface.initializeTextModule(): boolean,[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.user.forms.EditUserForm.isEnabled() : boolean,[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.HomeController.HomeController(),[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.user.forms.EditUserForm.setEmail(java.lang.String) : void,['java.lang.String'],[24],24
pt.ist.socialsoftware.edition.ldod.frontend.about.AboutController.showAcknowledgements() : java.lang.String,[],[],0
pt.ist.socialsoftware.edition.text.domain.Fragment_Base.set$sources(pt.ist.fenixframework.backend.jvstmojb.ojb.OJBFunctionalSetWrapper) : void,['pt.ist.fenixframework.backend.jvstmojb.ojb.OJBFunctionalSetWrapper'],[16],16
"pt.ist.socialsoftware.edition.text.domain.InfoRange_Base$1.setValue(pt.ist.fenixframework.DomainObject, pt.ist.fenixframework.DomainObject): void","['pt.ist.fenixframework.DomainObject', 'pt.ist.fenixframework.DomainObject']","[16, 16]",32
"pt.ist.socialsoftware.edition.text.domain.Dimensions_Base$1.setValue(pt.ist.fenixframework.DomainObject, pt.ist.fenixframework.DomainObject): void","['pt.ist.fenixframework.DomainObject', 'pt.ist.fenixframework.DomainObject']","[16, 16]",32
pt.ist.socialsoftware.edition.virtual.domain.VirtualEditionInter.role$$isUsedBy,[],[],0
pt.ist.socialsoftware.edition.virtual.domain.Annotation_Base$1.getInverseRole(): pt.ist.fenixframework.dml.runtime.Role,[],[],0
pt.ist.socialsoftware.edition.virtual.domain.VirtualEditionInter_Base$4.getSet(pt.ist.fenixframework.DomainObject): pt.ist.fenixframework.dml.runtime.RelationBaseSet,['pt.ist.fenixframework.DomainObject'],[16],16
pt.ist.socialsoftware.edition.ldod.frontend.user.SigninController.SigninController(),[],[],0
"java.util.List.subList(int, int): java.util.List","['int', 'int']","[4, 4]",8
pt.ist.socialsoftware.edition.recommendation.domain.RecommendationWeights_Base.get$textWeight(): double,[],[],0
pt.ist.socialsoftware.edition.virtual.domain.Tweet_Base$DO_State.originalTweetID,[],[],0
"pt.ist.socialsoftware.edition.text.domain.TextPortion_Base$10.setValue(pt.ist.socialsoftware.edition.text.domain.TextPortion, pt.ist.socialsoftware.edition.text.domain.TextPortion): void","['pt.ist.socialsoftware.edition.text.domain.TextPortion', 'pt.ist.socialsoftware.edition.text.domain.TextPortion']","[16, 16]",32
pt.ist.socialsoftware.edition.user.domain.Role_Base.addUsers(pt.ist.socialsoftware.edition.user.domain.User): void,['pt.ist.socialsoftware.edition.user.domain.User'],[16],16
pt.ist.socialsoftware.edition.text.domain.SegText_Base$1.SegText_Base$1(),[],[],0
pt.ist.socialsoftware.edition.virtual.domain.Tweet_Base.getOriginalTweetID(): long,[],[],0
pt.ist.fenixframework.consistencyPredicates.DomainDependenceRecord_Base.getDependedDomainMetaObjectCount() : int,[],[],0
pt.ist.socialsoftware.edition.user.domain.User_Base.getSocialMediaId() : java.lang.String,[],[],0
pt.ist.socialsoftware.edition.virtual.domain.VirtualEdition_Base.get$pub(): java.lang.Boolean,[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.user.security.UserModuleAuthenticationSuccessHandler$callable$onAuthenticationSuccess.call(): java.lang.Object,[],[],0
