Method,Parameter Types,Param Sizes,Total Param Size
pt.ist.fenixframework.adt.bplustree.DomainLeafNode_Base$DO_State.copyTo(pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State): void,['pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State'],[16],16
pt.ist.socialsoftware.edition.virtual.domain.Category_Base.setXmlId(java.lang.String): void,['java.lang.String'],[24],24
pt.ist.socialsoftware.edition.text.domain.GapText_Base.make$newState(): pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State,[],[],0
pt.ist.socialsoftware.edition.text.domain.InfoRange_Base.checkMultiplicityOfScholarInter(): boolean,[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.text.FeTextRequiresInterface.getScholarInterByXmlId(java.lang.String) : pt.ist.socialsoftware.edition.text.api.dto.ScholarInterDto,['java.lang.String'],[24],24
pt.ist.socialsoftware.edition.text.domain.ScholarInter_Base$FragmentHasScholarInters.static {},[],[],0
pt.ist.socialsoftware.edition.virtual.domain.Range_Base.getAnnotation(): pt.ist.socialsoftware.edition.virtual.domain.Annotation,[],[],0
pt.ist.socialsoftware.edition.virtual.domain.TwitterCitation_Base.set$tweet(pt.ist.fenixframework.backend.jvstmojb.ojb.OJBFunctionalSetWrapper) : void,['pt.ist.fenixframework.backend.jvstmojb.ojb.OJBFunctionalSetWrapper'],[16],16
pt.ist.socialsoftware.edition.ldod.frontend.user.session.SessionRequiresInterface.virtualProvidesInterface,[],[],0
pt.ist.socialsoftware.edition.text.domain.Heteronym_Base.setXmlId(java.lang.String): void,['java.lang.String'],[24],24
pt.ist.socialsoftware.edition.text.domain.TextPortion_Base.role$$prevText,[],[],0
pt.ist.socialsoftware.edition.text.domain.InfoRange_Base.getStart(): java.lang.String,[],[],0
pt.ist.socialsoftware.edition.text.domain.ScholarInter_Base.getInfoRangeCount(): int,[],[],0
pt.ist.socialsoftware.edition.text.domain.SourceInter_Base.make$newState(): pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State,[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.virtual.assistedordering.FEAssistedOrderingRequiresInterface.recommendationProvidesInterface,[],[],0
pt.ist.socialsoftware.edition.text.domain.ManuscriptSource_Base.role$$typeNote,[],[],0
pt.ist.socialsoftware.edition.text.domain.SourceInter_Base.role$$source,[],[],0
pt.ist.socialsoftware.edition.user.domain.RegistrationToken_Base.role$$userModule,[],[],0
pt.ist.socialsoftware.edition.user.domain.UserConnection_Base.setProfileUrl(java.lang.String): void,['java.lang.String'],[24],24
pt.ist.socialsoftware.edition.recommendation.domain.RecommendationModule_Base.addRecommendationWeights(pt.ist.socialsoftware.edition.recommendation.domain.RecommendationWeights) : void,['pt.ist.socialsoftware.edition.recommendation.domain.RecommendationWeights'],[16],16
pt.ist.socialsoftware.edition.virtual.domain.VirtualEditionInter_Base.getSection() : pt.ist.socialsoftware.edition.virtual.domain.Section,[],[],0
"pt.ist.socialsoftware.edition.text.domain.Surface_Base$1.setValue(pt.ist.socialsoftware.edition.text.domain.Surface, pt.ist.socialsoftware.edition.text.domain.Facsimile): void","['pt.ist.socialsoftware.edition.text.domain.Surface', 'pt.ist.socialsoftware.edition.text.domain.Facsimile']","[16, 16]",32
pt.ist.socialsoftware.edition.text.domain.TextPortion_Base.create$allLists(): void,[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.utils.LdoDCreateClassificationGameException.interExternalId,[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.game.GameController.static {},[],[],0
pt.ist.socialsoftware.edition.virtual.domain.VirtualEdition_Base.getIsUsedByCount() : int,[],[],0
pt.ist.socialsoftware.edition.text.domain.ExpertEditionInter_Base.setNotes(java.lang.String): void,['java.lang.String'],[24],24
"pt.ist.socialsoftware.edition.text.domain.ScholarEdition_Base.set$pub(java.lang.Boolean, pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State): void","['java.lang.Boolean', 'pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State']","[16, 16]",32
pt.ist.socialsoftware.edition.ldod.frontend.virtual.assistedordering.AssistedOrderingController.requiresInterface,[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.virtual.FeVirtualRequiresInterface.searchForAwareAnnotations(java.lang.String) : void,['java.lang.String'],[24],24
pt.ist.socialsoftware.edition.virtual.domain.HumanAnnotation_Base.checkDisconnected(): void,[],[],0
pt.ist.fenixframework.adt.bplustree.LeafNodeArray_Base.role$$previous,[],[],0
java.util.stream.IntStream.sum(): int,[],[],0
pt.ist.socialsoftware.edition.text.domain.TextPortion_Base$DO_State.prevText,[],[],0
pt.ist.socialsoftware.edition.game.domain.Player_Base.set$classificationGameParticipant(pt.ist.fenixframework.backend.jvstmojb.ojb.OJBFunctionalSetWrapper) : void,['pt.ist.fenixframework.backend.jvstmojb.ojb.OJBFunctionalSetWrapper'],[16],16
pt.ist.socialsoftware.edition.text.domain.AnnexNote_Base.get$$relationFor(java.lang.String): pt.ist.fenixframework.dml.runtime.Relation,['java.lang.String'],[24],24
java.lang.Long.parseLong(java.lang.String): long,['java.lang.String'],[24],24
pt.ist.fenixframework.adt.bplustree.InnerNodeArray_Base$DO_State.InnerNodeArray_Base$DO_State(),[],[],0
pt.ist.fenixframework.DomainRoot_Base.get$$relationFor(java.lang.String): pt.ist.fenixframework.dml.runtime.Relation,['java.lang.String'],[24],24
pt.ist.socialsoftware.edition.text.domain.ExpertEdition_Base$2.getInverseRole(): pt.ist.fenixframework.dml.runtime.Role,[],[],0
pt.ist.fenixframework.adt.bplustree.BPlusTree_Base.setRoot(pt.ist.fenixframework.adt.bplustree.AbstractNode): void,['pt.ist.fenixframework.adt.bplustree.AbstractNode'],[16],16
pt.ist.socialsoftware.edition.ldod.frontend.utils.validator.AbstractLdoDValidator.values,[],[],0
pt.ist.socialsoftware.edition.text.domain.ExpertEdition_Base.removeExpertEditionInters(pt.ist.socialsoftware.edition.text.domain.ExpertEditionInter) : void,['pt.ist.socialsoftware.edition.text.domain.ExpertEditionInter'],[16],16
pt.ist.fenixframework.FenixFramework.getDomainObject(java.lang.String): pt.ist.fenixframework.DomainObject,['java.lang.String'],[24],24
pt.ist.socialsoftware.edition.text.api.TextProvidesInterface.getFragmentByXmlId(java.lang.String): pt.ist.socialsoftware.edition.text.api.dto.FragmentDto,['java.lang.String'],[24],24
pt.ist.socialsoftware.edition.ldod.frontend.about.AboutController.showEncoding(): java.lang.String,[],[],0
pt.ist.fenixframework.DomainBPlusTreeData_Base$1.getValue(pt.ist.fenixframework.DomainBPlusTreeData): pt.ist.fenixframework.DomainBPlusTreeJVSTM,['pt.ist.fenixframework.DomainBPlusTreeData'],[16],16
pt.ist.socialsoftware.edition.virtual.domain.VirtualEdition_Base$VirtualEditionUsesVirtualEdition.relation,[],[],0
org.springframework.security.config.annotation.web.builders.WebSecurity.ignoring(): org.springframework.security.config.annotation.web.builders.WebSecurity$IgnoredRequestConfigurer,[],[],0
pt.ist.socialsoftware.edition.text.domain.ExpertEdition_Base.getExpertEditionInters(): java.util.Set,[],[],0
pt.ist.socialsoftware.edition.text.domain.InfoRange_Base$CitationHasInfoRanges.relation,[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.utils.AnnotationDTO.getSerialversionuid(): long,[],[],0
"pt.ist.socialsoftware.edition.text.domain.ExpertEditionInter_Base$1.setValue(pt.ist.fenixframework.DomainObject, pt.ist.fenixframework.DomainObject): void","['pt.ist.fenixframework.DomainObject', 'pt.ist.fenixframework.DomainObject']","[16, 16]",32
pt.ist.fenixframework.adt.bplustree.AbstractNodeArray_Base.AbstractNodeArray_Base(),[],[],0
pt.ist.fenixframework.adt.bplustree.AbstractNodeArray_Base$NodeArrayHasParent.static {},[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.HomeController.showHome(org.springframework.ui.Model) : java.lang.String,['org.springframework.ui.Model'],[16],16
pt.ist.socialsoftware.edition.text.domain.GapText_Base.getReason() : pt.ist.socialsoftware.edition.text.domain.GapText$GapReason,[],[],0
"pt.ist.socialsoftware.edition.virtual.domain.VirtualEdition_Base.access$200(pt.ist.socialsoftware.edition.virtual.domain.VirtualEdition_Base, boolean): pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State","['pt.ist.socialsoftware.edition.virtual.domain.VirtualEdition_Base', 'boolean']","[16, 1]",17
pt.ist.socialsoftware.edition.user.domain.RegistrationToken_Base.checkMultiplicityOfUserModule() : boolean,[],[],0
pt.ist.socialsoftware.edition.virtual.domain.VirtualEdition_Base.addSections(pt.ist.socialsoftware.edition.virtual.domain.Section): void,['pt.ist.socialsoftware.edition.virtual.domain.Section'],[16],16
pt.ist.fenixframework.adt.bplustree.LeafNodeArray_Base.get$obj$state(boolean): pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State,['boolean'],[1],1
pt.ist.socialsoftware.edition.text.domain.AltTextWeight_Base$DO_State.AltTextWeight_Base$DO_State(),[],[],0
pt.ist.socialsoftware.edition.virtual.domain.VirtualEdition_Base.getSelectedBySet(): java.util.Set,[],[],0
pt.ist.socialsoftware.edition.text.domain.Facsimile_Base.get$xmlId(): java.lang.String,[],[],0
pt.ist.socialsoftware.edition.game.domain.ClassificationGame_Base.setSync(boolean) : void,['boolean'],[1],1
org.springframework.security.config.annotation.web.configurers.FormLoginConfigurer.loginPage(java.lang.String): org.springframework.security.config.annotation.web.configurers.FormLoginConfigurer,['java.lang.String'],[24],24
pt.ist.socialsoftware.edition.virtual.domain.SelectedBy_Base$DO_State.SelectedBy_Base$DO_State(),[],[],0
pt.ist.socialsoftware.edition.game.domain.ClassificationGame_Base.setInterId(java.lang.String) : void,['java.lang.String'],[24],24
java.util.ArrayList.ArrayList(),[],[],0
pt.ist.socialsoftware.edition.text.domain.Fragment_Base.get$xmlId(): java.lang.String,[],[],0
pt.ist.socialsoftware.edition.recommendation.domain.RecommendationWeights_Base$DO_State.copyTo(pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State): void,['pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State'],[16],16
pt.ist.socialsoftware.edition.text.domain.AltTextWeight_Base.setWeight(double): void,['double'],[8],8
pt.ist.socialsoftware.edition.ldod.frontend.config.HttpSessionConfig.sessions,[],[],0
pt.ist.socialsoftware.edition.virtual.api.dto.AnnotationDto.getVirtualEdition(): pt.ist.socialsoftware.edition.virtual.api.dto.VirtualEditionDto,[],[],0
pt.ist.socialsoftware.edition.text.domain.Source_Base$DO_State.type,[],[],0
pt.ist.fenixframework.DomainFenixFrameworkRoot_Base.getRelationDomainRootDomainFenixFrameworkRoot() : pt.ist.fenixframework.dml.runtime.DirectRelation,[],[],0
pt.ist.socialsoftware.edition.text.domain.Source_Base.setHeteronym(pt.ist.socialsoftware.edition.text.domain.Heteronym) : void,['pt.ist.socialsoftware.edition.text.domain.Heteronym'],[16],16
pt.ist.socialsoftware.edition.text.domain.SimpleText_Base.SimpleText_Base(),[],[],0
"pt.ist.fenixframework.adt.bplustree.AbstractNodeArray_Base.readStateFromResultSet(java.sql.ResultSet, pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State): void","['java.sql.ResultSet', 'pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State']","[16, 16]",32
pt.ist.fenixframework.adt.bplustree.LeafNodeArray_Base$2.LeafNodeArray_Base$2(),[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.user.security.UserModuleConnectionRepository.lambda$findConnectionsToUsers$3(java.util.Map$Entry): java.util.stream.Stream,['java.util.Map$Entry'],[16],16
pt.ist.socialsoftware.edition.virtual.api.dto.VirtualEditionDto.canManipulateTaxonomy(java.lang.String): boolean,['java.lang.String'],[24],24
pt.ist.socialsoftware.edition.virtual.domain.VirtualEdition_Base.setAcronym(java.lang.String): void,['java.lang.String'],[24],24
pt.ist.socialsoftware.edition.text.domain.LbText_Base.getBreakWord() : java.lang.Boolean,[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.utils.PermissionDTO.setAdmin(java.util.List): void,['java.util.List'],[24],24
pt.ist.socialsoftware.edition.text.domain.SegText_Base.make$newState(): pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State,[],[],0
"pt.ist.fenixframework.DomainMetaClass_Base.access$200(pt.ist.fenixframework.DomainMetaClass_Base, boolean): pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State","['pt.ist.fenixframework.DomainMetaClass_Base', 'boolean']","[16, 1]",17
pt.ist.socialsoftware.edition.text.domain.TextModule_Base$TextModule.static {},[],[],0
pt.ist.fenixframework.consistencyPredicates.PublicConsistencyPredicate.PublicConsistencyPredicate(),[],[],0
pt.ist.fenixframework.DomainRoot_Base.setTextModule(pt.ist.socialsoftware.edition.text.domain.TextModule): void,['pt.ist.socialsoftware.edition.text.domain.TextModule'],[16],16
pt.ist.socialsoftware.edition.virtual.domain.SocialMediaCriteria.create$allLists(): void,[],[],0
pt.ist.socialsoftware.edition.game.domain.ClassificationGame_Base.get$rl$classificationGameParticipant(): pt.ist.fenixframework.backend.jvstmojb.pstm.RelationList,[],[],0
"pt.ist.socialsoftware.edition.text.domain.LdoDDate_Base$2.setValue(pt.ist.fenixframework.DomainObject, pt.ist.fenixframework.DomainObject): void","['pt.ist.fenixframework.DomainObject', 'pt.ist.fenixframework.DomainObject']","[16, 16]",32
pt.ist.socialsoftware.edition.ldod.frontend.text.FragmentController.static {},[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.text.FeTextRequiresInterface.getFragmentByXmlId(java.lang.String) : pt.ist.socialsoftware.edition.text.api.dto.FragmentDto,['java.lang.String'],[24],24
pt.ist.fenixframework.DomainFenixFrameworkRoot_Base.getRelationDomainFenixFrameworkRootDomainMetaClasses(): pt.ist.fenixframework.dml.runtime.DirectRelation,[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.utils.LdoDException.LdoDException(java.lang.String),['java.lang.String'],[24],24
pt.ist.socialsoftware.edition.text.domain.ExpertEditionInter_Base$DO_State.title,[],[],0
pt.ist.socialsoftware.edition.text.domain.Source_Base.role$$ldoDDate,[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.config.Application.main(java.lang.String[]): void,['java.lang.String[]'],[24],24
pt.ist.socialsoftware.edition.ldod.frontend.domain.UiComponent_Base$EditionModuleHasUiComponent.static {},[],[],0
pt.ist.socialsoftware.edition.text.domain.Facsimile_Base.role$$firstSurface,[],[],0
pt.ist.socialsoftware.edition.virtual.domain.TwitterCitation_Base.setLocation(java.lang.String): void,['java.lang.String'],[24],24
pt.ist.socialsoftware.edition.text.domain.Fragment_Base.getRelationFragmentHasSources() : pt.ist.fenixframework.dml.runtime.DirectRelation,[],[],0
pt.ist.fenixframework.adt.bplustree.AbstractNodeArray_Base$1.getValue(pt.ist.fenixframework.DomainObject): pt.ist.fenixframework.DomainObject,['pt.ist.fenixframework.DomainObject'],[16],16
org.springframework.web.context.request.NativeWebRequest.getNativeResponse(java.lang.Class): java.lang.Object,['java.lang.Class'],[16],16
pt.ist.socialsoftware.edition.text.domain.ScholarInter_Base.getRelationInfoRangeHasScholarInter() : pt.ist.fenixframework.dml.runtime.DirectRelation,[],[],0
pt.ist.socialsoftware.edition.text.domain.SegText_Base.create$allLists(): void,[],[],0
pt.ist.socialsoftware.edition.text.domain.AnnexNote_Base.getRelationAnnexNoteHasTextNote(): pt.ist.fenixframework.dml.runtime.DirectRelation,[],[],0
pt.ist.socialsoftware.edition.user.domain.UserConnection_Base.get$imageUrl(): java.lang.String,[],[],0
pt.ist.socialsoftware.edition.text.domain.Surface_Base$DO_State.Surface_Base$DO_State(),[],[],0
pt.ist.socialsoftware.edition.virtual.domain.HumanAnnotation_Base.role$$tag,[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.domain.Menu_Base.getOptionSet() : java.util.Set,[],[],0
pt.ist.socialsoftware.edition.text.domain.ExpertEdition_Base$DO_State.author,[],[],0
pt.ist.socialsoftware.edition.virtual.domain.Category_Base.removeTag(pt.ist.socialsoftware.edition.virtual.domain.Tag) : void,['pt.ist.socialsoftware.edition.virtual.domain.Tag'],[16],16
pt.ist.socialsoftware.edition.game.domain.Player_Base$2.getSet(pt.ist.fenixframework.DomainObject): pt.ist.fenixframework.dml.runtime.RelationBaseSet,['pt.ist.fenixframework.DomainObject'],[16],16
pt.ist.socialsoftware.edition.ldod.frontend.config.Application.signInAdapter(): org.springframework.social.connect.web.SignInAdapter,[],[],0
pt.ist.fenixframework.DomainMetaClass_Base.addDomainMetaSubclass(pt.ist.fenixframework.DomainMetaClass) : void,['pt.ist.fenixframework.DomainMetaClass'],[16],16
pt.ist.socialsoftware.edition.virtual.domain.TwitterCitation_Base.static {},[],[],0
pt.ist.socialsoftware.edition.text.domain.LdoDDate_Base.get$oidScholarInter(): java.lang.Long,[],[],0
pt.ist.socialsoftware.edition.virtual.domain.VirtualEditionInter_Base.getAnnotationSet(): java.util.Set,[],[],0
pt.ist.fenixframework.consistencyPredicates.PublicConsistencyPredicate_Base.get$oidPublicConsistencyPredicateOverridden(): java.lang.Long,[],[],0
pt.ist.fenixframework.DomainRoot.role$$virtualModule,[],[],0
"pt.ist.socialsoftware.edition.user.domain.User_Base.set$socialMediaId(java.lang.String, pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State): void","['java.lang.String', 'pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State']","[24, 16]",40
pt.ist.socialsoftware.edition.virtual.domain.Tweet_Base.get$country(): java.lang.String,[],[],0
"pt.ist.socialsoftware.edition.user.domain.UserConnection_Base.set$rank(int, pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State): void","['int', 'pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State']","[4, 16]",20
pt.ist.socialsoftware.edition.text.domain.ManuscriptSource_Base.addHandNote(pt.ist.socialsoftware.edition.text.domain.HandNote) : void,['pt.ist.socialsoftware.edition.text.domain.HandNote'],[16],16
"pt.ist.socialsoftware.edition.virtual.domain.VirtualEdition_Base.set$acronym(java.lang.String, pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State): void","['java.lang.String', 'pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State']","[24, 16]",40
pt.ist.socialsoftware.edition.text.domain.ExpertEditionInter_Base.setVolume(java.lang.String): void,['java.lang.String'],[24],24
pt.ist.fenixframework.adt.bplustree.LeafNodeArray_Base$DO_State.next,[],[],0
pt.ist.socialsoftware.edition.game.domain.ClassificationModule_Base$ClassificationModuleHasClassificationGames.static {},[],[],0
java.lang.String.split(java.lang.String): java.lang.String[],['java.lang.String'],[24],24
pt.ist.socialsoftware.edition.ldod.frontend.utils.AnnotationDTO.getId(): java.lang.String,[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.config.SocialConfig.google(org.springframework.social.connect.ConnectionRepository): org.springframework.social.google.api.Google,['org.springframework.social.connect.ConnectionRepository'],[16],16
pt.ist.socialsoftware.edition.game.domain.ClassificationGameRound_Base$DO_State.ClassificationGameRound_Base$DO_State(),[],[],0
pt.ist.socialsoftware.edition.text.domain.TextPortion_Base$6.getSet(pt.ist.fenixframework.DomainObject): pt.ist.fenixframework.dml.runtime.RelationBaseSet,['pt.ist.fenixframework.DomainObject'],[16],16
pt.ist.fenixframework.adt.bplustree.LeafNode.create$allLists(): void,[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.reactUi.ReactUiController.searchAnnotations(java.lang.String) : pt.ist.socialsoftware.edition.ldod.frontend.utils.AnnotationSearchJson,['java.lang.String'],[24],24
io.jsonwebtoken.JwtBuilder.compact(): java.lang.String,[],[],0
pt.ist.socialsoftware.edition.text.domain.LdoDDate_Base.getType(): pt.ist.socialsoftware.edition.text.domain.LdoDDate$DateType,[],[],0
pt.ist.socialsoftware.edition.user.domain.User_Base.role$$userModule,[],[],0
pt.ist.fenixframework.ValueTypeSerializer.deSerialize$OidIndexedMap(java.lang.String): java.util.TreeMap,['java.lang.String'],[24],24
"pt.ist.socialsoftware.edition.ldod.frontend.reading.ReadingController.readInterpretation(org.springframework.ui.Model, pt.ist.socialsoftware.edition.ldod.frontend.user.session.FrontendSession, java.lang.String, java.lang.String) : java.lang.String","['org.springframework.ui.Model', 'pt.ist.socialsoftware.edition.ldod.frontend.user.session.FrontendSession', 'java.lang.String', 'java.lang.String']","[16, 24, 24, 24]",88
pt.ist.socialsoftware.edition.virtual.domain.HumanAnnotation_Base$DO_State.copyTo(pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State): void,['pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State'],[16],16
pt.ist.socialsoftware.edition.ldod.frontend.virtual.FeVirtualRequiresInterface.getWriteVirtualEditionToFileExport() : java.lang.String,[],[],0
pt.ist.socialsoftware.edition.virtual.domain.AwareAnnotation_Base.get$oidCitation(): java.lang.Long,[],[],0
pt.ist.socialsoftware.edition.virtual.domain.Section_Base.create$allLists(): void,[],[],0
pt.ist.socialsoftware.edition.text.domain.Surface_Base$2.Surface_Base$2(),[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.user.security.UserModuleConnectionRepository.addConnection(org.springframework.social.connect.Connection) : void,['org.springframework.social.connect.Connection'],[16],16
pt.ist.socialsoftware.edition.text.domain.TextPortion_Base.addChildText(pt.ist.socialsoftware.edition.text.domain.TextPortion) : void,['pt.ist.socialsoftware.edition.text.domain.TextPortion'],[16],16
pt.ist.socialsoftware.edition.user.domain.UserConnection_Base.setAccessToken(java.lang.String) : void,['java.lang.String'],[24],24
pt.ist.socialsoftware.edition.virtual.domain.Taxonomy_Base.getOpenVocabulary(): boolean,[],[],0
java.lang.String.valueOf(boolean): java.lang.String,['boolean'],[1],1
pt.ist.fenixframework.adt.bplustree.DomainLeafNode_Base.get$$relationFor(java.lang.String): pt.ist.fenixframework.dml.runtime.Relation,['java.lang.String'],[24],24
pt.ist.socialsoftware.edition.virtual.domain.TwitterCitation_Base.addTweet(pt.ist.socialsoftware.edition.virtual.domain.Tweet): void,['pt.ist.socialsoftware.edition.virtual.domain.Tweet'],[16],16
pt.ist.socialsoftware.edition.ldod.frontend.virtual.socialaware.CitationController.feVirtualRequiresInterface,[],[],0
pt.ist.socialsoftware.edition.virtual.domain.VirtualModule_Base$1.getValue(pt.ist.socialsoftware.edition.virtual.domain.VirtualModule): pt.ist.fenixframework.DomainRoot,['pt.ist.socialsoftware.edition.virtual.domain.VirtualModule'],[16],16
pt.ist.socialsoftware.edition.text.domain.ScholarInter.role$$refText,[],[],0
pt.ist.socialsoftware.edition.game.domain.ClassificationModule_Base.ClassificationModule_Base(),[],[],0
pt.ist.socialsoftware.edition.game.domain.Player_Base$2.getInverseRole(): pt.ist.fenixframework.dml.runtime.Role,[],[],0
pt.ist.fenixframework.DomainMetaClass_Base.getRelationDomainFenixFrameworkRootDomainMetaClasses() : pt.ist.fenixframework.dml.runtime.DirectRelation,[],[],0
pt.ist.socialsoftware.edition.virtual.domain.VirtualEdition_Base.getXmlId() : java.lang.String,[],[],0
pt.ist.socialsoftware.edition.virtual.domain.VirtualEditionInter_Base.make$newState(): pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State,[],[],0
pt.ist.socialsoftware.edition.virtual.domain.Taxonomy_Base$1.getValue(pt.ist.fenixframework.DomainObject): pt.ist.fenixframework.DomainObject,['pt.ist.fenixframework.DomainObject'],[16],16
pt.ist.fenixframework.DomainRoot_Base.getRelationDomainRootHasRecommendationModule() : pt.ist.fenixframework.dml.runtime.DirectRelation,[],[],0
pt.ist.socialsoftware.edition.virtual.domain.Range_Base$1.getValue(pt.ist.fenixframework.DomainObject): pt.ist.fenixframework.DomainObject,['pt.ist.fenixframework.DomainObject'],[16],16
pt.ist.socialsoftware.edition.virtual.domain.Member_Base.get$active(): boolean,[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.virtual.VirtualAdminController.manageTweets(org.springframework.ui.Model) : java.lang.String,['org.springframework.ui.Model'],[16],16
pt.ist.socialsoftware.edition.text.domain.ExpertEditionInter_Base.getEndPage(): int,[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.domain.EditionModule_Base$2.EditionModule_Base$2(),[],[],0
pt.ist.socialsoftware.edition.game.domain.ClassificationGameParticipant_Base.getClassificationGameRoundSet() : java.util.Set,[],[],0
pt.ist.socialsoftware.edition.text.api.dto.LdoDDateDto.getDate(): org.joda.time.LocalDate,[],[],0
pt.ist.socialsoftware.edition.text.domain.ScholarInter_Base.getLbTextSet(): java.util.Set,[],[],0
pt.ist.socialsoftware.edition.text.domain.ExpertEditionInter_Base.make$newState(): pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State,[],[],0
pt.ist.fenixframework.DomainMetaClass_Base.removeDeclaredConsistencyPredicate(pt.ist.fenixframework.consistencyPredicates.DomainConsistencyPredicate) : void,['pt.ist.fenixframework.consistencyPredicates.DomainConsistencyPredicate'],[16],16
pt.ist.socialsoftware.edition.ldod.frontend.domain.Option_Base.create$allLists(): void,[],[],0
"pt.ist.socialsoftware.edition.text.domain.ParagraphText_Base.readStateFromResultSet(java.sql.ResultSet, pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State): void","['java.sql.ResultSet', 'pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State']","[16, 16]",32
pt.ist.socialsoftware.edition.text.api.dto.ScholarInterDto.getNextScholarInter(): pt.ist.socialsoftware.edition.text.api.dto.ScholarInterDto,[],[],0
pt.ist.fenixframework.adt.bplustree.DomainLeafNode_Base$DO_State.domainEntries,[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.user.FeUserRequiresInterface.getVirtualEditionByExternalId(java.lang.String): pt.ist.socialsoftware.edition.virtual.api.dto.VirtualEditionDto,['java.lang.String'],[24],24
pt.ist.socialsoftware.edition.ldod.frontend.domain.EditionModule_Base.setUiComponent(pt.ist.socialsoftware.edition.ldod.frontend.domain.UiComponent): void,['pt.ist.socialsoftware.edition.ldod.frontend.domain.UiComponent'],[16],16
pt.ist.socialsoftware.edition.text.domain.Fragment_Base$6.Fragment_Base$6(),[],[],0
"pt.ist.socialsoftware.edition.text.domain.ScholarInter_Base$10.beforeAdd(pt.ist.fenixframework.DomainObject, pt.ist.fenixframework.DomainObject): void","['pt.ist.fenixframework.DomainObject', 'pt.ist.fenixframework.DomainObject']","[16, 16]",32
pt.ist.socialsoftware.edition.user.domain.UserConnection_Base.initInstance(): void,[],[],0
pt.ist.socialsoftware.edition.text.domain.AltTextWeight_Base.get$oidAltText(): java.lang.Long,[],[],0
"pt.ist.fenixframework.DomainFenixFrameworkRoot_Base$1.setValue(pt.ist.fenixframework.DomainFenixFrameworkRoot, pt.ist.fenixframework.DomainRoot): void","['pt.ist.fenixframework.DomainFenixFrameworkRoot', 'pt.ist.fenixframework.DomainRoot']","[16, 16]",32
"pt.ist.socialsoftware.edition.ldod.frontend.utils.enums.Source_Type.Source_Type(java.lang.String, int, java.lang.String)","['java.lang.String', 'int', 'java.lang.String']","[24, 4, 24]",52
pt.ist.socialsoftware.edition.text.api.dto.FragmentDto.getTitle(): java.lang.String,[],[],0
org.springframework.web.servlet.ModelAndView.ModelAndView(),[],[],0
